source,data,ts
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 644.27, ""energy_wh_delta"": 0.00089, ""ts"": ""2026-08-08T02:36:06.063249""}",2026-08-08T02:36:06.063249
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:06.063249""}",2026-08-08T02:36:06.079878
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:06.063249""}",2026-08-08T02:36:06.096275
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.2, ""ts"": ""2026-08-08T02:36:06.063249""}",2026-08-08T02:36:06.096275
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:11.063713""}",2026-08-08T02:36:11.066707
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:11.063713""}",2026-08-08T02:36:11.069765
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 445.66, ""energy_wh_delta"": 0.00062, ""ts"": ""2026-08-08T02:36:11.063713""}",2026-08-08T02:36:11.081443
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.6, ""ts"": ""2026-08-08T02:36:11.063713""}",2026-08-08T02:36:11.086621
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:16.079803""}",2026-08-08T02:36:16.083793
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:16.080802""}",2026-08-08T02:36:16.086844
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:16.080802""}",2026-08-08T02:36:16.098437
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.8, ""ts"": ""2026-08-08T02:36:16.081799""}",2026-08-08T02:36:16.103457
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:21.101620""}",2026-08-08T02:36:21.105277
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:21.101620""}",2026-08-08T02:36:21.114268
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 629.98, ""energy_wh_delta"": 0.00087, ""ts"": ""2026-08-08T02:36:21.101620""}",2026-08-08T02:36:21.120275
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.0, ""ts"": ""2026-08-08T02:36:21.101620""}",2026-08-08T02:36:21.129898
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:26.113367""}",2026-08-08T02:36:26.120386
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:26.114375""}",2026-08-08T02:36:26.120386
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:26.114375""}",2026-08-08T02:36:26.136074
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.5, ""ts"": ""2026-08-08T02:36:26.115363""}",2026-08-08T02:36:26.137108
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 639.62, ""energy_wh_delta"": 0.00089, ""ts"": ""2026-08-08T02:36:31.119022""}",2026-08-08T02:36:31.119022
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:31.119022""}",2026-08-08T02:36:31.132125
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 314.43, ""energy_wh_delta"": 0.00044, ""ts"": ""2026-08-08T02:36:31.119022""}",2026-08-08T02:36:31.137146
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.2, ""ts"": ""2026-08-08T02:36:31.119022""}",2026-08-08T02:36:31.148746
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:36.119718""}",2026-08-08T02:36:36.132981
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:36.119718""}",2026-08-08T02:36:36.137028
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:36.119718""}",2026-08-08T02:36:36.150799
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.6, ""ts"": ""2026-08-08T02:36:36.120752""}",2026-08-08T02:36:36.153824
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:41.130389""}",2026-08-08T02:36:41.133379
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 295.45, ""energy_wh_delta"": 0.00041, ""ts"": ""2026-08-08T02:36:41.130389""}",2026-08-08T02:36:41.137887
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:41.130389""}",2026-08-08T02:36:41.147908
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.8, ""ts"": ""2026-08-08T02:36:41.131387""}",2026-08-08T02:36:41.154119
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 326.07, ""energy_wh_delta"": 0.00045, ""ts"": ""2026-08-08T02:36:46.202645""}",2026-08-08T02:36:46.227659
energy,"{""tile_id"": ""tile_2"", ""steps"": 2, ""power_mw"": 741.67, ""energy_wh_delta"": 0.00103, ""ts"": ""2026-08-08T02:36:46.204627""}",2026-08-08T02:36:46.239762
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:46.204627""}",2026-08-08T02:36:46.254705
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.1, ""ts"": ""2026-08-08T02:36:46.204627""}",2026-08-08T02:36:46.262680
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:51.214523""}",2026-08-08T02:36:51.225098
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 455.98, ""energy_wh_delta"": 0.00063, ""ts"": ""2026-08-08T02:36:51.214523""}",2026-08-08T02:36:51.225098
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 478.2, ""energy_wh_delta"": 0.00066, ""ts"": ""2026-08-08T02:36:51.214523""}",2026-08-08T02:36:51.240726
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.8, ""ts"": ""2026-08-08T02:36:51.214523""}",2026-08-08T02:36:51.245234
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:56.215847""}",2026-08-08T02:36:56.221655
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:56.216761""}",2026-08-08T02:36:56.230858
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:56.216761""}",2026-08-08T02:36:56.234447
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.4, ""ts"": ""2026-08-08T02:36:56.216761""}",2026-08-08T02:36:56.234447
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 331.61, ""energy_wh_delta"": 0.00046, ""ts"": ""2026-08-08T02:37:01.230138""}",2026-08-08T02:37:01.231102
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:01.231102""}",2026-08-08T02:37:01.231102
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:01.231102""}",2026-08-08T02:37:01.247801
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -57.1, ""ts"": ""2026-08-08T02:37:01.231102""}",2026-08-08T02:37:01.247801
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:06.231339""}",2026-08-08T02:37:06.231339
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:06.231339""}",2026-08-08T02:37:06.231339
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:06.231339""}",2026-08-08T02:37:06.247970
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.1, ""ts"": ""2026-08-08T02:37:06.231339""}",2026-08-08T02:37:06.247970
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:11.232003""}",2026-08-08T02:37:11.235993
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:11.232003""}",2026-08-08T02:37:11.242975
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:11.232003""}",2026-08-08T02:37:11.251083
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.7, ""ts"": ""2026-08-08T02:37:11.232003""}",2026-08-08T02:37:11.258064
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:16.237440""}",2026-08-08T02:37:16.240431
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:16.237440""}",2026-08-08T02:37:16.249210
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 636.12, ""energy_wh_delta"": 0.00088, ""ts"": ""2026-08-08T02:37:16.238436""}",2026-08-08T02:37:16.258187
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.8, ""ts"": ""2026-08-08T02:37:16.241429""}",2026-08-08T02:37:16.267214
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:21.248453""}",2026-08-08T02:37:21.252442
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 352.61, ""energy_wh_delta"": 0.00049, ""ts"": ""2026-08-08T02:37:21.248453""}",2026-08-08T02:37:21.259424
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:21.248453""}",2026-08-08T02:37:21.266917
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.3, ""ts"": ""2026-08-08T02:37:21.249452""}",2026-08-08T02:37:21.273898
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 573.8, ""energy_wh_delta"": 0.0008, ""ts"": ""2026-08-08T02:37:26.253194""}",2026-08-08T02:37:26.267596
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 619.16, ""energy_wh_delta"": 0.00086, ""ts"": ""2026-08-08T02:37:26.253194""}",2026-08-08T02:37:26.267596
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 526.97, ""energy_wh_delta"": 0.00073, ""ts"": ""2026-08-08T02:37:26.253194""}",2026-08-08T02:37:26.290764
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.3, ""ts"": ""2026-08-08T02:37:26.253194""}",2026-08-08T02:37:26.290764
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 460.37, ""energy_wh_delta"": 0.00064, ""ts"": ""2026-08-08T02:37:31.263424""}",2026-08-08T02:37:31.265697
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:31.263424""}",2026-08-08T02:37:31.281318
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:31.265697""}",2026-08-08T02:37:31.298451
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.9, ""ts"": ""2026-08-08T02:37:31.265697""}",2026-08-08T02:37:31.298451
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:36.273947""}",2026-08-08T02:37:36.277942
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:36.273947""}",2026-08-08T02:37:36.287522
energy,"{""tile_id"": ""tile_3"", ""steps"": 2, ""power_mw"": 1132.86, ""energy_wh_delta"": 0.00157, ""ts"": ""2026-08-08T02:37:36.273947""}",2026-08-08T02:37:36.296350
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.3, ""ts"": ""2026-08-08T02:37:36.274950""}",2026-08-08T02:37:36.304312
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:41.281190""}",2026-08-08T02:37:41.292426
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:41.281190""}",2026-08-08T02:37:41.298939
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:41.283088""}",2026-08-08T02:37:41.298939
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.6, ""ts"": ""2026-08-08T02:37:41.283088""}",2026-08-08T02:37:41.318418
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:46.288723""}",2026-08-08T02:37:46.292717
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:46.288723""}",2026-08-08T02:37:46.300719
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:46.288723""}",2026-08-08T02:37:46.308750
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.4, ""ts"": ""2026-08-08T02:37:46.288723""}",2026-08-08T02:37:46.316687
energy,"{""tile_id"": ""tile_1"", ""steps"": 2, ""power_mw"": 583.41, ""energy_wh_delta"": 0.00081, ""ts"": ""2026-08-08T02:37:51.297905""}",2026-08-08T02:37:51.297905
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:51.297905""}",2026-08-08T02:37:51.303910
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:51.297905""}",2026-08-08T02:37:51.303910
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.6, ""ts"": ""2026-08-08T02:37:51.297905""}",2026-08-08T02:37:51.319536
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:56.307994""}",2026-08-08T02:37:56.307994
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:56.307994""}",2026-08-08T02:37:56.314501
